method,group,n,precision,recall,f1,false_certification,false_rejection,fault_type_accuracy,component_localization_accuracy,diagnostic_time_ms_mean
independent_if_else,clean,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.000608762
independent_if_else,held_out_fault_types,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000758692
independent_if_else,registered_compositional,4000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00070125725
independent_if_else,registered_single,1000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.000696539
simple_or,clean,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0006312949999999999
simple_or,held_out_fault_types,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000650374
simple_or,registered_compositional,4000,1.0,0.8,0.888888888888889,0.2,0.0,0.05,0.05,0.00068551775
simple_or,registered_single,1000,1.0,0.4,0.5714285714285715,0.6,0.0,0.4,0.4,0.000674121
typed_route_validator,clean,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.000734075
typed_route_validator,held_out_fault_types,1000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.001106545
typed_route_validator,registered_compositional,4000,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.007598665
typed_route_validator,registered_single,1000,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.0008316280000000001
weighted_fault_score,clean,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.001025191
weighted_fault_score,held_out_fault_types,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000712279
weighted_fault_score,registered_compositional,4000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00073890925
weighted_fault_score,registered_single,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0008528790000000001
