modality,model,explainer,n,repetition,model_seconds,explainer_seconds,fuzzyxai_seconds,serialization_seconds,total_seconds,objects_per_second,peak_rss_bytes,peak_vram_bytes,serialized_bytes,cached
text,DistilBERT AG News,integrated_gradients,1,0,0.009379931,0.052509739,0.000435779,8.836e-06,0.062334284999999996,16.042535821177704,1661530112,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,1,0.008278297,0.039986022,0.000355856,8.746e-06,0.048628921,20.563894477527068,1662406656,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,2,0.00961064,0.056220221,0.000377177,8.015e-06,0.06621605300000001,15.102078041407871,1662472192,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,3,0.008927992,0.053139305,0.00034688,8.306e-06,0.062422482999999994,16.019868994958117,1662558208,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,4,0.007603534,0.041303766,0.000374592,8.106e-06,0.049289998,20.28809171386049,1662607360,500442112,719,False
text,DistilBERT AG News,integrated_gradients,10,0,0.049536125,0.936936881,0.001946139,4.3553e-05,0.9884626980000001,10.11671964984965,1663131648,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,1,0.049942558,0.933866358,0.00191435,4.5286e-05,0.9857685519999999,10.144369060781319,1663352832,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,2,0.047227987,0.956201771,0.001954064,4.5817e-05,1.005429639,9.94599682773028,1663459328,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,3,0.049769128,0.915395767,0.001987769,4.5086e-05,0.96719775,10.339147294335621,1663520768,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,4,0.049620765,0.958307682,0.001934869,4.5226e-05,1.009908542,9.901886739363771,1663602688,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,100,0,0.478564258,7.803158828,0.014716664,0.000376486,8.296816236,12.052816062877062,1665134592,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,1,0.383902006,5.966584868,0.014426192,0.00037843,6.365291495999999,15.71019961345695,1666076672,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,2,0.377345489,5.817974745,0.0145885,0.000384191,6.210292925,16.10230003764275,1666306048,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,3,0.424948819,7.337809675,0.014719448,0.000388999,7.777866941,12.856995466567213,1666449408,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,4,0.388480795,7.416502666,0.014788769,0.000395221,7.8201674510000005,12.787449965308932,1666564096,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,1000,0,3.886403964,56.969061575,0.139717127,0.004163373,60.999346038999995,16.393618373558446,1673580544,1053560320,716445,False
text,DistilBERT AG News,integrated_gradients,1000,1,4.071109735,66.756895575,0.138441169,0.004387246,70.970833725,14.090295231345754,1680527360,1053560320,716445,False
text,DistilBERT AG News,integrated_gradients,1000,2,4.059767099,53.345092193,0.144760753,0.003786113,57.553406157999994,17.37516624567317,1680588800,1053560320,716445,False
text,DistilBERT AG News,integrated_gradients,1000,3,3.066520323,65.254985114,0.13890752,0.004059001,68.464471958,14.606115718141474,1680998400,1053560320,716445,False
text,DistilBERT AG News,integrated_gradients,1000,4,4.092761491,70.888650614,0.138689093,0.003762286,75.123863484,13.311349465046904,1680998400,1053560320,716445,False
text,DistilBERT AG News,token_masking,1,0,0.010171019,0.07548278,0.00060068,2.9907e-05,0.086284386,11.589582384001666,1684918272,356588032,719,False
text,DistilBERT AG News,token_masking,1,1,0.006738088,0.075220051,0.000407654,9.387e-06,0.08237517999999999,12.139578936276681,1684918272,356588032,719,False
text,DistilBERT AG News,token_masking,1,2,0.011044839,0.079105121,0.000370003,8.205e-06,0.09052816799999999,11.046285615765472,1684918272,356588032,719,False
text,DistilBERT AG News,token_masking,1,3,0.008896818,0.045877058,0.000336209,8.416e-06,0.05511850099999999,18.142728518687402,1684918272,356588032,719,False
text,DistilBERT AG News,token_masking,1,4,0.008994444,0.074809251,0.000381645,8.757e-06,0.084194097,11.877317242324008,1684918272,356588032,719,False
text,DistilBERT AG News,token_masking,10,0,0.052851275,1.177935851,0.001756195,4.6528e-05,1.232589849,8.112998827722782,1684922368,890140160,7170,False
text,DistilBERT AG News,token_masking,10,1,0.053327289,1.1795853,0.001783007,4.735e-05,1.2347429460000001,8.098851694107998,1684922368,890140160,7170,False
text,DistilBERT AG News,token_masking,10,2,0.05036393,1.185028734,0.001762728,4.5967e-05,1.2372013590000002,8.082758661114596,1684922368,890140160,7170,False
text,DistilBERT AG News,token_masking,10,3,0.050708414,1.180733162,0.001780501,4.5346e-05,1.233267423,8.108541435136894,1684922368,890140160,7170,False
text,DistilBERT AG News,token_masking,10,4,0.052842938,1.179637898,0.001762737,5.1758e-05,1.2342953309999998,8.1017887282278,1684922368,890140160,7170,False
text,DistilBERT AG News,token_masking,100,0,0.423703394,11.594070437,0.013888228,0.000385953,12.032048012,8.311137048345083,1687941120,892166656,71655,False
text,DistilBERT AG News,token_masking,100,1,0.404154721,6.582752134,0.013670665,0.000412945,7.000990465,14.283693214542893,1688039424,892166656,71655,False
text,DistilBERT AG News,token_masking,100,2,0.342622675,10.06969116,0.013738393,0.000413666,10.426465894,9.59097751976975,1688055808,892166656,71655,False
text,DistilBERT AG News,token_masking,100,3,0.392831456,10.661682114,0.015321138,0.00045291,11.070287617999998,9.033188969490062,1688072192,892166656,71655,False
text,DistilBERT AG News,token_masking,100,4,0.426876324,7.941900714,0.013614477,0.00038964,8.382781155,11.929215155563726,1688072192,892166656,71655,False
