modality,model,explainer,n,repetition,model_seconds,explainer_seconds,fuzzyxai_seconds,serialization_seconds,total_seconds,objects_per_second,peak_rss_bytes,peak_vram_bytes,serialized_bytes,cached
text,DistilBERT AG News,integrated_gradients,1,0,0.009379931,0.052509739,0.000435779,8.836e-06,0.0623342849999999,16.042535821177704,1661530112,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,1,0.008278297,0.039986022,0.000355856,8.746e-06,0.048628921,20.563894477527068,1662406656,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,2,0.00961064,0.056220221,0.000377177,8.015e-06,0.066216053,15.102078041407871,1662472192,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,3,0.008927992,0.053139305,0.00034688,8.306e-06,0.0624224829999999,16.019868994958117,1662558208,500442112,719,False
text,DistilBERT AG News,integrated_gradients,1,4,0.007603534,0.041303766,0.000374592,8.106e-06,0.049289998,20.28809171386049,1662607360,500442112,719,False
text,DistilBERT AG News,integrated_gradients,10,0,0.049536125,0.936936881,0.001946139,4.3553e-05,0.988462698,10.11671964984965,1663131648,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,1,0.049942558,0.933866358,0.00191435,4.5286e-05,0.985768552,10.14436906078132,1663352832,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,2,0.047227987,0.956201771,0.001954064,4.5817e-05,1.005429639,9.94599682773028,1663459328,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,3,0.049769128,0.915395767,0.001987769,4.5086e-05,0.96719775,10.33914729433562,1663520768,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,10,4,0.049620765,0.958307682,0.001934869,4.5226e-05,1.009908542,9.901886739363771,1663602688,1053560320,7170,False
text,DistilBERT AG News,integrated_gradients,100,0,0.478564258,7.803158828,0.014716664,0.000376486,8.296816236,12.052816062877062,1665134592,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,1,0.383902006,5.966584868,0.014426192,0.00037843,6.365291495999999,15.71019961345695,1666076672,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,2,0.377345489,5.817974745,0.0145885,0.000384191,6.210292925,16.10230003764275,1666306048,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,3,0.424948819,7.337809675,0.014719448,0.000388999,7.777866941,12.856995466567213,1666449408,1053560320,71655,False
text,DistilBERT AG News,integrated_gradients,100,4,0.388480795,7.416502666,0.014788769,0.000395221,7.820167451,12.787449965308932,1666564096,1053560320,71655,False
