group,method,n,precision,recall,f1,false_certification,false_rejection,fault_type_accuracy,component_localization_accuracy,diagnostic_time_ms_mean
clean,independent_if_else,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.000636519
held_out_fault_types,independent_if_else,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00070853
registered_compositional,independent_if_else,4000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0006876464999999
registered_single,independent_if_else,1000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.000701302
clean,simple_or,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00065346
held_out_fault_types,simple_or,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0008606789999999
registered_compositional,simple_or,4000,1.0,0.8,0.888888888888889,0.2,0.0,0.05,0.05,0.00065902625
registered_single,simple_or,1000,1.0,0.4,0.5714285714285715,0.6,0.0,0.4,0.4,0.000620806
clean,typed_route_validator,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.000763642
held_out_fault_types,typed_route_validator,1000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.001174928
registered_compositional,typed_route_validator,4000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0071287845
registered_single,typed_route_validator,1000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0008519339999999
clean,weighted_fault_score,1000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.001027875
held_out_fault_types,weighted_fault_score,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000680319
registered_compositional,weighted_fault_score,4000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0007569674999999
registered_single,weighted_fault_score,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00085555
