split,method,stratum,n,optimal_set_membership,normalized_cost_regret,full_recertification_success,false_certification,runtime_ms_mean
development,full_fuzzyxai,S1,72,1.0,0.0,1.0,0.0,0.030916138964837754
development,full_fuzzyxai,S2,144,1.0,0.0,1.0,0.0,0.10768323616300929
development,full_fuzzyxai,S3,216,1.0,0.0,1.0,0.0,0.08775467598651529
development,full_fuzzyxai,S4,144,1.0,0.0,1.0,0.0,0.1531922986638771
development,full_fuzzyxai,S5,144,0.7916666666666666,0.0,0.7916666666666666,0.0,0.12366790276195792
development,greedy_cover,S1,72,1.0,0.0,1.0,0.0,0.0034121526874110308
development,greedy_cover,S2,144,0.0,0.39534883720930236,1.0,0.0,0.00942255553582072
development,greedy_cover,S3,216,0.0,0.125,0.0,0.0,0.01182138423785175
development,greedy_cover,S4,144,1.0,0.0,0.0,0.0,0.013716527695982627
development,greedy_cover,S5,144,0.0,0.06597222222222222,0.0,0.20833333333333334,0.01628854162542363
development,independent_if_else,S1,72,1.0,0.0,1.0,0.0,0.004175916728854645
development,independent_if_else,S2,144,1.0,0.0,1.0,0.0,0.011838444429991392
development,independent_if_else,S3,216,0.0,0.5,0.0,0.0,0.013222981528492205
development,independent_if_else,S4,144,0.0,0.5,0.0,0.0,0.01680826388413455
development,independent_if_else,S5,144,0.0,0.2638888888888889,0.0,0.20833333333333334,0.016844673635003145
development,schema_only,S1,72,0.0,2.0,0.0,0.0,0.003557319511552729
development,schema_only,S2,144,0.0,2.0,0.0,0.0,0.008396909770959205
development,schema_only,S3,216,0.0,2.0,0.0,0.0,0.01022400003960313
development,schema_only,S4,144,0.0,2.0,0.0,0.0,0.012734819354894475
development,schema_only,S5,144,0.0,1.5833333333333333,0.0,0.0,0.013370659720142916
development,simple_or,S1,72,1.0,0.0,1.0,0.0,0.002948722163233065
development,simple_or,S2,144,0.0,1.3953488372093026,1.0,0.0,0.007947576225180657
development,simple_or,S3,216,0.0,1.125,0.0,0.0,0.009163680429251312
development,simple_or,S4,144,0.0,3.125,0.0,0.0,0.011881715181516483
development,simple_or,S5,144,0.0,0.7916666666666666,0.0,1.0,0.012059194419735932
development,typed_without_optimization,S1,72,1.0,0.0,1.0,0.0,0.005689624888165983
development,typed_without_optimization,S2,144,1.0,0.0,1.0,0.0,0.019845611063828983
development,typed_without_optimization,S3,216,0.0,0.5,0.5555555555555556,0.0,0.02085709263189562
development,typed_without_optimization,S4,144,0.0,0.5,1.0,0.0,0.02714673607644929
development,typed_without_optimization,S5,144,0.0,0.2638888888888889,0.0,0.20833333333333334,0.027053999891298492
development,untyped_graph,S1,72,1.0,0.0,1.0,0.0,0.004015194488399882
development,untyped_graph,S2,144,0.0,0.39534883720930236,1.0,0.0,0.0103179653226309
development,untyped_graph,S3,216,0.0,0.125,0.0,0.0,0.012953268491468474
development,untyped_graph,S4,144,1.0,0.0,0.0,0.0,0.014824909726485203
development,untyped_graph,S5,144,0.0,0.06597222222222222,0.0,0.20833333333333334,0.01807856944601048
development,weighted_greedy,S1,72,1.0,0.0,1.0,0.0,0.003471875035959076
development,weighted_greedy,S2,144,1.0,0.0,1.0,0.0,0.014979076404920811
development,weighted_greedy,S3,216,0.0,0.125,0.0,0.0,0.012236583415869973
development,weighted_greedy,S4,144,0.0,0.125,0.0,0.0,0.016372895882139145
development,weighted_greedy,S5,144,0.0,0.06597222222222222,0.0,0.20833333333333334,0.016760194512244198
