truth_parent,predicted_parent,count
artifact_integrity,artifact_integrity,166
provenance,artifact_integrity,0
reduction,artifact_integrity,42
reference_context,artifact_integrity,0
semantic_compatibility,artifact_integrity,0
artifact_integrity,provenance,27
provenance,provenance,183
reduction,provenance,10
reference_context,provenance,0
semantic_compatibility,provenance,0
artifact_integrity,reference_context,0
provenance,reference_context,0
reduction,reference_context,0
reference_context,reference_context,205
semantic_compatibility,reference_context,0
artifact_integrity,semantic_compatibility,0
provenance,semantic_compatibility,0
reduction,semantic_compatibility,0
reference_context,semantic_compatibility,0
semantic_compatibility,semantic_compatibility,240
artifact_integrity,,71
provenance,,61
reduction,,100
reference_context,,41
semantic_compatibility,,43
