age,income,tenure,score,region,plan,target
23,32000,1,0.31,north,basic,0
45,78000,8,0.74,south,premium,1
31,51000,3,0.52,east,standard,0
52,96000,12,0.86,west,premium,1
28,43000,2,0.44,north,standard,0
39,67000,6,0.68,south,standard,1
61,105000,15,0.91,east,premium,1
34,56000,4,0.57,west,basic,0
48,83000,10,0.79,north,premium,1
26,39000,1,0.38,south,basic,0
42,72000,7,0.71,east,standard,1
37,61000,5,0.63,west,standard,1
29,47000,2,0.49,north,basic,0
55,99000,13,0.88,south,premium,1
33,54000,4,0.55,east,standard,0
46,81000,9,0.77,west,premium,1
24,35000,1,0.34,north,basic,0
41,70000,7,0.69,south,standard,1
58,102000,14,0.90,east,premium,1
36,59000,5,0.60,west,basic,0
27,41000,2,0.41,north,standard,0
44,76000,8,0.73,south,premium,1
32,53000,3,0.53,east,basic,0
50,90000,11,0.83,west,premium,1
25,37000,1,0.36,north,basic,0
40,68000,6,0.66,south,standard,1
63,108000,16,0.93,east,premium,1
35,58000,5,0.59,west,standard,0
30,49000,3,0.50,north,basic,0
47,82000,9,0.78,south,premium,1
38,64000,6,0.64,east,standard,1
53,94000,12,0.85,west,premium,1
22,30000,0,0.28,north,basic,0
43,74000,7,0.72,south,standard,1
57,101000,14,0.89,east,premium,1
34,55000,4,0.56,west,basic,0
28,45000,2,0.46,north,standard,0
49,87000,10,0.81,south,premium,1
31,50000,3,0.51,east,basic,0
54,97000,13,0.87,west,premium,1
26,40000,2,0.40,north,basic,0
39,66000,6,0.67,south,standard,1
60,104000,15,0.92,east,premium,1
36,60000,5,0.61,west,standard,0
29,46000,2,0.47,north,basic,0
45,79000,8,0.75,south,premium,1
33,52000,4,0.54,east,standard,0
51,92000,11,0.84,west,premium,1
24,34000,1,0.33,north,basic,0
42,71000,7,0.70,south,standard,1
59,103000,14,0.90,east,premium,1
37,62000,5,0.62,west,basic,0
27,42000,2,0.43,north,standard,0
46,80000,9,0.76,south,premium,1
32,52000,3,0.52,east,basic,0
52,95000,12,0.86,west,premium,1
25,36000,1,0.35,north,basic,0
41,69000,6,0.68,south,standard,1
62,106000,16,0.92,east,premium,1
35,57000,4,0.58,west,standard,0
30,48000,3,0.48,north,basic,0
48,85000,10,0.80,south,premium,1
38,63000,6,0.63,east,standard,1
55,98000,13,0.88,west,premium,1
23,33000,1,0.32,north,basic,0
43,73000,7,0.71,south,standard,1
56,100000,14,0.89,east,premium,1
34,56000,4,0.57,west,basic,0
28,44000,2,0.45,north,standard,0
49,88000,10,0.82,south,premium,1
31,51000,3,0.51,east,basic,0
53,96000,12,0.87,west,premium,1
26,38000,1,0.37,north,basic,0
40,67000,6,0.65,south,standard,1
61,107000,15,0.93,east,premium,1
36,59000,5,0.60,west,standard,0
29,47000,2,0.48,north,basic,0
44,77000,8,0.74,south,premium,1
33,53000,4,0.55,east,standard,0
50,91000,11,0.83,west,premium,1
