signal_id,trace_version,counterevidence,manual_required_baseline,adapter_status,fuzzyxai_action,adapter_reject_reason
beacon_000,v1,0.15,true,valid,manual_check,
beacon_001,v1,0.185,true,valid,manual_check,
beacon_002,v1,0.22,true,valid,manual_check,
beacon_003,v1,0.255,true,valid,manual_check,
beacon_004,v1,0.29,true,valid,manual_check,
beacon_005,v1,0.325,true,valid,manual_check,
beacon_006,v1,0.36,true,valid,manual_check,
beacon_007,v1,0.395,true,valid,manual_check,
beacon_008,v1,0.43,true,valid,manual_check,
beacon_009,v1,0.465,true,valid,manual_check,
beacon_010,v1,0.5,true,valid,manual_check,
beacon_011,v1,0.535,true,valid,accept,
beacon_012,v1,0.57,true,valid,accept,
beacon_013,v1,0.605,true,valid,accept,
beacon_014,v1,0.64,true,valid,accept,
beacon_015,v1,0.675,true,valid,accept,
beacon_016,v1,0.71,true,valid,accept,
beacon_017,v1,0.745,true,valid,accept,
beacon_018,v1,0.78,true,valid,accept,
beacon_019,v1,0.815,true,valid,accept,
beacon_020,v1,0.15,true,valid,accept,
beacon_021,v1,0.185,true,valid,accept,
beacon_022,v1,0.22,true,valid,accept,
beacon_023,v1,0.255,true,valid,accept,
beacon_024,v1,0.29,true,valid,accept,
beacon_025,v1,0.325,true,valid,accept,
beacon_026,v1,0.36,true,valid,accept,
beacon_027,v1,0.395,true,valid,accept,
beacon_028,v1,0.43,true,valid,accept,
beacon_029,v1,0.465,true,valid,accept,
beacon_030,v1,0.5,true,valid,accept,
beacon_031,v1,0.535,true,valid,accept,
beacon_032,v1,0.57,true,valid,accept,
beacon_033,v1,0.605,true,valid,accept,
beacon_034,v1,0.64,true,valid,accept,
beacon_035,v1,0.675,true,valid,accept,
beacon_036,v1,0.71,true,valid,accept,
beacon_037,v1,0.745,true,valid,accept,
beacon_038,v1,0.78,true,valid,accept,
beacon_039,v1,0.815,true,valid,accept,
beacon_040,v1,0.15,true,valid,accept,
beacon_041,v1,0.185,true,valid,accept,
beacon_042,v1,0.22,true,valid,accept,
beacon_043,v1,0.255,true,valid,accept,
beacon_044,v1,0.29,true,valid,accept,
beacon_045,v1,0.325,true,valid,accept,
beacon_046,v1,0.36,true,valid,accept,
beacon_047,v1,0.395,true,valid,accept,
beacon_048,v1,0.43,true,valid,accept,
beacon_049,v1,0.465,true,valid,accept,
beacon_050,v1,0.5,true,valid,accept,
beacon_051,v1,0.535,true,valid,accept,
beacon_052,v1,0.57,true,valid,accept,
beacon_053,v1,0.605,true,valid,accept,
beacon_054,v1,0.64,true,valid,accept,
beacon_055,v1,0.675,true,valid,accept,
beacon_056,v1,0.71,true,valid,accept,
beacon_057,v1,0.745,true,valid,accept,
beacon_058,v1,0.78,true,valid,accept,
beacon_059,v1,0.815,true,valid,accept,
beacon_060,v1,0.15,true,valid,accept,
beacon_061,v1,0.185,true,valid,accept,
beacon_062,v1,0.22,true,valid,accept,
beacon_063,v1,0.255,true,valid,accept,
beacon_064,v1,0.29,false,valid,accept,
beacon_065,v1,0.325,false,valid,accept,
beacon_066,v1,0.36,false,valid,accept,
beacon_067,v1,0.395,false,valid,accept,
beacon_068,v1,0.43,false,valid,accept,
beacon_069,v1,0.465,false,valid,accept,
beacon_070,v1,0.5,false,valid,accept,
beacon_071,v1,0.535,false,valid,accept,
beacon_072,v1,0.57,false,valid,accept,
beacon_073,v1,0.605,false,valid,accept,
beacon_074,v1,0.64,false,valid,accept,
beacon_075,v1,0.675,false,valid,accept,
beacon_076,v1,0.71,false,valid,accept,
beacon_077,v1,0.745,false,valid,accept,
beacon_078,v1,0.78,false,valid,accept,
beacon_079,v1,0.815,false,valid,accept,
beacon_080,v1,0.15,false,valid,accept,
beacon_081,v1,0.185,false,valid,accept,
beacon_082,v1,0.22,false,valid,accept,
beacon_083,missing,0.255,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_084,missing,0.29,false,adapter_rejected,audit_report,missing_trace
beacon_085,missing,0.325,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_086,missing,0.36,false,adapter_rejected,audit_report,missing_trace
beacon_087,missing,0.395,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_088,missing,0.43,false,adapter_rejected,audit_report,missing_trace
beacon_089,missing,0.465,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_090,missing,0.5,false,adapter_rejected,audit_report,missing_trace
beacon_091,missing,0.535,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_092,missing,0.57,false,adapter_rejected,audit_report,missing_trace
beacon_093,missing,0.605,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_094,missing,0.64,false,adapter_rejected,audit_report,missing_trace
beacon_095,missing,0.675,false,adapter_rejected,not_run,counterevidence_schema_gap
beacon_096,missing,0.71,false,adapter_rejected,not_run,missing_trace
beacon_097,missing,0.745,false,adapter_rejected,not_run,counterevidence_schema_gap
beacon_098,missing,0.78,false,adapter_rejected,not_run,missing_trace
beacon_099,missing,0.815,false,adapter_rejected,not_run,counterevidence_schema_gap
