library,model_family,task_type,configuration_count,native_evidence,additional_evidence,limitations,status
catboost,catboost,binary_classification,1,leaf_indices; local_contributions; native_rules; predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
fuzzyxai-native,rule_based,binary_classification,1,native_rules; predict_proba; prediction; rule_activation,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
lightgbm,lightgbm,binary_classification,1,decision_function; leaf_indices; local_contributions; native_rules; predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
onnx,onnxruntime,binary_classification,1,onnx_outputs; prediction,perturbation_counterfactual,alignment; counterfactuals; local_contributions; reduction; risk; rules; similar_cases; training_history,pass
python,callable_black_box,binary_classification,1,prediction,perturbation_counterfactual,alignment; counterfactuals; local_contributions; reduction; risk; rules; similar_cases; training_history,pass
python,predict_proba_compatible,binary_classification,1,predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; local_contributions; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_ensemble,binary_classification,4,decision_function; ensemble_votes; native_rules; predict_proba; prediction,ensemble_disagreement; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_ensemble,multiclass_classification,1,ensemble_votes; native_rules; predict_proba; prediction,ensemble_disagreement; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_ensemble,regression,2,ensemble_votes; native_rules; prediction,ensemble_disagreement; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_generic,binary_classification,1,decision_function; predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; local_contributions; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_knn,binary_classification,1,nearest_neighbors; predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_knn,multiclass_classification,1,nearest_neighbors; predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_knn,regression,1,nearest_neighbors; prediction,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_linear,binary_classification,3,coefficients; decision_function; predict_proba; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_linear,multiclass_classification,1,coefficients; decision_function; predict_proba; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_linear,regression,5,coefficients; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_naive_bayes,binary_classification,1,class_priors; predict_proba; prediction,log_likelihood_terms; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_naive_bayes,multiclass_classification,1,class_priors; predict_proba; prediction,log_likelihood_terms; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_pipeline,binary_classification,1,coefficients; decision_function; predict_proba; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_svm,binary_classification,3,decision_function; predict_proba; prediction; support_vectors,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_svm,regression,1,prediction; support_vectors,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
sklearn,sklearn_tree,binary_classification,2,decision_path; native_rules; predict_proba; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_tree,multiclass_classification,1,decision_path; native_rules; predict_proba; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
sklearn,sklearn_tree,regression,1,decision_path; native_rules; prediction,local_contributions; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; similar_cases; training_history,pass
tensorflow,keras,binary_classification,1,prediction,gradients; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
torch,pytorch,binary_classification,1,prediction,gradients; integrated_gradients; perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
xgboost,xgboost,binary_classification,1,leaf_indices; local_contributions; native_rules; predict_proba; prediction,perturbation_counterfactual,alignment; counterfactuals; reduction; risk; rules; similar_cases; training_history,pass
