config_id,task,model_class,adapter_id,model_family,prediction_parity,status
logistic_binary,binary_classification,sklearn.linear_model._logistic.LogisticRegression,sklearn_linear_v2,sklearn_linear,True,pass
sgd_binary,binary_classification,sklearn.linear_model._stochastic_gradient.SGDClassifier,sklearn_linear_v2,sklearn_linear,True,pass
ridge_binary,binary_classification,sklearn.linear_model._ridge.RidgeClassifier,sklearn_linear_v2,sklearn_linear,True,pass
linear_svc_binary,binary_classification,sklearn.svm._classes.LinearSVC,sklearn_svm_v2,sklearn_svm,True,pass
rbf_svc_binary,binary_classification,sklearn.svm._classes.SVC,sklearn_svm_v2,sklearn_svm,True,pass
linear_svc_kernel_binary,binary_classification,sklearn.svm._classes.SVC,sklearn_svm_v2,sklearn_svm,True,pass
tree_gini_binary,binary_classification,sklearn.tree._classes.DecisionTreeClassifier,sklearn_tree_v2,sklearn_tree,True,pass
tree_entropy_binary,binary_classification,sklearn.tree._classes.DecisionTreeClassifier,sklearn_tree_v2,sklearn_tree,True,pass
random_forest_binary,binary_classification,sklearn.ensemble._forest.RandomForestClassifier,sklearn_ensemble_v2,sklearn_ensemble,True,pass
extra_trees_binary,binary_classification,sklearn.ensemble._forest.ExtraTreesClassifier,sklearn_ensemble_v2,sklearn_ensemble,True,pass
gradient_boosting_binary,binary_classification,sklearn.ensemble._gb.GradientBoostingClassifier,sklearn_ensemble_v2,sklearn_ensemble,True,pass
hist_gradient_boosting_binary,binary_classification,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,sklearn_generic_v2,sklearn_generic,True,pass
adaboost_binary,binary_classification,sklearn.ensemble._weight_boosting.AdaBoostClassifier,sklearn_ensemble_v2,sklearn_ensemble,True,pass
knn_binary,binary_classification,sklearn.neighbors._classification.KNeighborsClassifier,sklearn_knn_v2,sklearn_knn,True,pass
gaussian_nb_binary,binary_classification,sklearn.naive_bayes.GaussianNB,sklearn_naive_bayes_v2,sklearn_naive_bayes,True,pass
pipeline_logistic_binary,binary_classification,sklearn.pipeline.Pipeline,sklearn_pipeline_v2,sklearn_pipeline,True,pass
logistic_multiclass,multiclass_classification,sklearn.linear_model._logistic.LogisticRegression,sklearn_linear_v2,sklearn_linear,True,pass
tree_multiclass,multiclass_classification,sklearn.tree._classes.DecisionTreeClassifier,sklearn_tree_v2,sklearn_tree,True,pass
random_forest_multiclass,multiclass_classification,sklearn.ensemble._forest.RandomForestClassifier,sklearn_ensemble_v2,sklearn_ensemble,True,pass
knn_multiclass,multiclass_classification,sklearn.neighbors._classification.KNeighborsClassifier,sklearn_knn_v2,sklearn_knn,True,pass
gaussian_nb_multiclass,multiclass_classification,sklearn.naive_bayes.GaussianNB,sklearn_naive_bayes_v2,sklearn_naive_bayes,True,pass
generic_predict_proba,binary_classification,__main__.GenericProbaModel,predict_proba,predict_proba_compatible,True,pass
native_rule_model,binary_classification,__main__.NativeRuleBenchmarkModel,native_rules_v2,native_rule_model,True,pass
callable_black_box,binary_classification,__main__.CallableBenchmarkModel,callable,callable_black_box,True,pass
linear_regression,regression,sklearn.linear_model._base.LinearRegression,sklearn_linear_v2,sklearn_linear,True,pass
ridge_regression,regression,sklearn.linear_model._ridge.Ridge,sklearn_linear_v2,sklearn_linear,True,pass
lasso_regression,regression,sklearn.linear_model._coordinate_descent.Lasso,sklearn_linear_v2,sklearn_linear,True,pass
elastic_net_regression,regression,sklearn.linear_model._coordinate_descent.ElasticNet,sklearn_linear_v2,sklearn_linear,True,pass
sgd_regression,regression,sklearn.linear_model._stochastic_gradient.SGDRegressor,sklearn_linear_v2,sklearn_linear,True,pass
tree_regression,regression,sklearn.tree._classes.DecisionTreeRegressor,sklearn_tree_v2,sklearn_tree,True,pass
random_forest_regression,regression,sklearn.ensemble._forest.RandomForestRegressor,sklearn_ensemble_v2,sklearn_ensemble,True,pass
gradient_boosting_regression,regression,sklearn.ensemble._gb.GradientBoostingRegressor,sklearn_ensemble_v2,sklearn_ensemble,True,pass
knn_regression,regression,sklearn.neighbors._regression.KNeighborsRegressor,sklearn_knn_v2,sklearn_knn,True,pass
svr_regression,regression,sklearn.svm._classes.SVR,sklearn_svm_v2,sklearn_svm,True,pass
