path,exists,sha256,chapter,confirms,command
reports/reproducibility_artifacts/explain_plan.json,True,d7cdb8f76152c43aec44316fad634fc337273206b26db67ad890697ab38bf524,2 / appendix,Serializable ExplainPlan contract and trace hash source,make reproducibility-artifacts
reports/chapter2_real_operator_case/breast_cancer_operator_case.json,True,618947c60c12c36924b49f2d282fa46c0cfe2c9b6ce808a599b241921b4070ab,2,"sample_113 operator values: mu, alpha, U_model, U_rules, U_trace, u_M, tau",make chapter2-real-operator-case
reports/real_reduction_example/breast_cancer_case.json,True,ca31cd57c9b9d0ddc683a9d42e2deeee0a316a0f2881af408dbe633bdeeca075,3,"sample_113 reduction, chi_Auto, chi_R, chi_R_crit, rho, action",make real-reduction-example
reports/datasets/breast_cancer/summary.json,True,e938831464094240f0a88389f421fb8b6a3d58a04e237e87758b466dbb4c3a7e,5,"Breast Cancer model metrics, observer metrics, I_pre/rho quantiles",make benchmark-dataset DATASET=breast_cancer
reports/datasets/breast_cancer/calibration.json,True,68118e91c83b2c8f24e5c940bb54dd4adb21620e2734f5eb82ad10ad3dfffc44,5,Observer calibration before/after and constrained parameters,make calibrate-observer DATASET=breast_cancer
reports/datasets/synthetic_ruptures/baseline_comparison_native.json,True,fad3e831c07ddb943c21a0069b19b40c12bd0f069049377292621efb6d44df6b,5,Native-access safety comparison; baselines do not receive chi_R_crit,make baseline-comparison DATASET=synthetic_ruptures BASELINE_ACCESS=native
reports/datasets/synthetic_ruptures/baseline_comparison_equal_guardrail.json,True,5d7ddd1a679e4aeefc8a9f7f728492b68d11eaac550025d21ec3ac4654782f07,5,Equal-guardrail sanity check where all methods receive chi_R_crit,make baseline-comparison DATASET=synthetic_ruptures BASELINE_ACCESS=equal_guardrail
reports/structure_aware_benchmark/breast_cancer.json,True,4911d505319520aaa09d228c070bc319bdbff3d263d145f5de9c8295b431d2a4,5,"Structure-aware cases: trace gap, source conflict, context forbidden, high Delta",make structure-aware-benchmark DATASET=breast_cancer
reports/structure_aware_benchmark/wine_risk.json,True,c5e08a516a9af65d417bdcda1563cc73a9cb80399033fe4c4ffa4c4a96ef8ea2,5,Structure-aware benchmark on real wine rows (non-synthetic improvement check),make structure-aware-benchmark DATASET=wine_risk
reports/structure_aware_benchmark/diabetes_binary.json,True,dcfdb0a0eaf89ca3a3b5e57fa54cd54d7898d4145bdee3dec337bd9cd438edc0,5,Structure-aware benchmark on real diabetes rows (non-synthetic improvement check),make structure-aware-benchmark DATASET=diabetes_binary
reports/datasets/breast_cancer/ablation.json,True,3a4d678e2890901856badd94348c5dce27cf137231a2d4b68fa304720cba0b54,5,"Ablation of trace, Delta, chi_R_crit, hierarchy, topos, risk-only threshold",make ablation-benchmark DATASET=breast_cancer
reports/thesis_practice/thesis_practice_tables.json,True,fc46650590a0fa891bedae193c34606d6489d6e0fce3d5d9c1d8f4534ebcb5c0,appendix,Word/LaTeX-ready thesis practice table index,make thesis-practice-tables
Makefile,True,3c2470dcb4deadf44410f4f0bd7c8b109bae2be9f6c7a10e5cc9e0da7b26aff3,appendix,Reproducible command route,
requirements.txt,True,4d381eabe3772f7748775788e6b151d37d00e83e3cbca3c6689a0806292907cf,appendix,Python environment dependencies,
