scenario_id,pipeline_family,cost_model,selected_cut,selected_cut_cost,alternative_optimal_cuts,repair_success,recertification_status,new_critical_violation_count,execution_time_ms
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,uniform,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1.0,"[[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""], [""source:restore""]]",True,full_success,0,4.142090008826926
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,runtime,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1.0,"[[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]]",True,full_success,0,4.142090008826926
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,dependency_weighted,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1.6931471805599454,"[[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]]",True,full_success,0,4.142090008826926
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,hybrid,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1.8665735902799727,"[[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]]",True,full_success,0,4.142090008826926
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,uniform,"[""source:restore""]",1.0,"[[""source:restore""]]",True,full_success,0,4.5829729933757335
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,runtime,"[""direct:0:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:0"", ""direct:1:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:1""]",2.0,"[[""direct:0:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:0"", ""direct:1:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:1""]]",True,full_success,0,8.63615500566084
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,dependency_weighted,"[""source:restore""]",2.386294361119891,"[[""source:restore""]]",True,full_success,0,4.5829729933757335
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,hybrid,"[""source:restore""]",2.715517009972366,"[[""source:restore""]]",True,full_success,0,4.5829729933757335
h10-c4:held_out:tabular_credit:002:11368f10699c6efe,tabular_credit,uniform,"[""source:restore""]",1.0,"[[""source:restore""]]",True,full_success,0,4.385620006360114
h10-c4:held_out:tabular_credit:002:11368f10699c6efe,tabular_credit,runtime,"[""direct:0:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:2"", ""direct:1:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:3""]",2.0,"[[""direct:0:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:2"", ""direct:1:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:3""]]",True,full_success,0,8.568507008021697
