pipeline_family,strategy,scenario_count,repair_success_rate,mean_normalized_executable_cost,mean_repair_action_count,mean_touched_component_count,mean_recertification_check_count,mean_execution_time_ms
image_quality,B_ALL,20,1.0,1.0,3.1,3.1,14.3,15.325809948262759
image_quality,B_FIRST,20,1.0,1.0,3.1,3.1,14.3,14.980732100957539
image_quality,B_GREEDY,20,0.8,0.594047367361634,1.7,1.4,10.1,8.199087901448365
image_quality,O_GLOBAL,20,1.0,0.5168489529790097,1,1,8,5.032885398395592
image_quality,O_GLOBAL_vs_B_ALL,20,,-0.4831510470209903,,,,
image_quality,O_GLOBAL_vs_B_FIRST,20,,-0.4831510470209903,,,,
image_quality,O_GLOBAL_vs_B_GREEDY,20,,-0.07719841438262429,,,,
news_text,B_ALL,20,1.0,1.0,3.1,3.1,14.3,14.518574699468445
news_text,B_FIRST,20,1.0,1.0,3.1,3.1,14.3,14.492342501762323
news_text,B_GREEDY,20,0.8,0.594047367361634,1.7,1.4,10.1,8.14304420055123
news_text,O_GLOBAL,20,1.0,0.5168489529790097,1,1,8,4.657537548337132
news_text,O_GLOBAL_vs_B_ALL,20,,-0.4831510470209903,,,,
news_text,O_GLOBAL_vs_B_FIRST,20,,-0.4831510470209903,,,,
news_text,O_GLOBAL_vs_B_GREEDY,20,,-0.07719841438262429,,,,
reviews_text,B_ALL,20,1.0,1.0,3.1,3.1,14.3,14.89924445268116
reviews_text,B_FIRST,20,1.0,1.0,3.1,3.1,14.3,14.770273899193853
reviews_text,B_GREEDY,20,0.8,0.594047367361634,1.7,1.4,10.1,8.306433047982864
reviews_text,O_GLOBAL,20,1.0,0.5168489529790097,1,1,8,4.871164399082772
reviews_text,O_GLOBAL_vs_B_ALL,20,,-0.4831510470209903,,,,
reviews_text,O_GLOBAL_vs_B_FIRST,20,,-0.4831510470209903,,,,
reviews_text,O_GLOBAL_vs_B_GREEDY,20,,-0.07719841438262429,,,,
tabular_credit,B_ALL,20,1.0,1.0,3.1,3.1,14.3,13.675894748303108
tabular_credit,B_FIRST,20,1.0,1.0,3.1,3.1,14.3,13.42012219975004
tabular_credit,B_GREEDY,20,0.8,0.594047367361634,1.7,1.4,10.1,7.571139949868666
tabular_credit,O_GLOBAL,20,1.0,0.5168489529790097,1,1,8,4.442208950786153
tabular_credit,O_GLOBAL_vs_B_ALL,20,,-0.4831510470209903,,,,
tabular_credit,O_GLOBAL_vs_B_FIRST,20,,-0.4831510470209903,,,,
tabular_credit,O_GLOBAL_vs_B_GREEDY,20,,-0.07719841438262429,,,,
tabular_energy,B_ALL,20,1.0,1.0,3.1,3.1,14.3,13.391951500670984
tabular_energy,B_FIRST,20,1.0,1.0,3.1,3.1,14.3,13.427267500810558
tabular_energy,B_GREEDY,20,0.8,0.594047367361634,1.7,1.4,10.1,7.540833250095602
tabular_energy,O_GLOBAL,20,1.0,0.5168489529790097,1,1,8,4.485565899085486
tabular_energy,O_GLOBAL_vs_B_ALL,20,,-0.4831510470209903,,,,
tabular_energy,O_GLOBAL_vs_B_FIRST,20,,-0.4831510470209903,,,,
tabular_energy,O_GLOBAL_vs_B_GREEDY,20,,-0.07719841438262429,,,,
time_series,B_ALL,20,1.0,1.0,3.1,3.1,14.3,14.29439904895844
time_series,B_FIRST,20,1.0,1.0,3.1,3.1,14.3,14.40884915064089
time_series,B_GREEDY,20,0.8,0.594047367361634,1.7,1.4,10.1,8.04417090039351
time_series,O_GLOBAL,20,1.0,0.5168489529790097,1,1,8,4.732785800297279
time_series,O_GLOBAL_vs_B_ALL,20,,-0.4831510470209903,,,,
time_series,O_GLOBAL_vs_B_FIRST,20,,-0.4831510470209903,,,,
time_series,O_GLOBAL_vs_B_GREEDY,20,,-0.07719841438262429,,,,
