scenario_id,pipeline_family,mutation_family,strategy,selected_cut,selected_actions,repair_action_count,unique_touched_components,modified_artifact_count,dependency_fanout_sum,dependency_fanout_max,recertification_check_count,execution_time_ms,peak_memory_mb,rollback_count,new_warning_count,new_critical_violation_count,final_route_status,repair_success,recertification_success,verifier_consistency,predicted_executable_cost,executed_cost,normalized_executable_cost,postconditions_pass,before_trace_sha256,after_trace_sha256
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,single_local_unique,B_ALL,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]","[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1,1,1,1,1,8,4.21294299303554,0.03198814392089844,0,0,0,full_success,True,True,PASS,1.8665735902799727,1.8665735902799727,1.0,True,6d1c7c0273bb6a1d4d264ec031c21139361408fa2131772a37a7c989c8833357,a8e5e2ca11912535c12c4a384998b3fb476bbeb3c660bd81eae1e25f205d0f1f
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,single_local_unique,B_FIRST,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]","[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1,1,1,1,1,8,4.023825997137465,0.030942916870117188,0,0,0,full_success,True,True,PASS,1.8665735902799727,1.8665735902799727,1.0,True,6d1c7c0273bb6a1d4d264ec031c21139361408fa2131772a37a7c989c8833357,a8e5e2ca11912535c12c4a384998b3fb476bbeb3c660bd81eae1e25f205d0f1f
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,single_local_unique,B_GREEDY,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]","[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1,1,1,1,1,8,4.217010995489545,0.030942916870117188,0,0,0,full_success,True,True,PASS,1.8665735902799727,1.8665735902799727,1.0,True,6d1c7c0273bb6a1d4d264ec031c21139361408fa2131772a37a7c989c8833357,a8e5e2ca11912535c12c4a384998b3fb476bbeb3c660bd81eae1e25f205d0f1f
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,single_local_unique,O_GLOBAL,"[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]","[""direct:0:h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e:obligation:0""]",1,1,1,1,1,8,4.165342994383536,0.030942916870117188,0,0,0,full_success,True,True,PASS,1.8665735902799727,1.8665735902799727,1.0,True,6d1c7c0273bb6a1d4d264ec031c21139361408fa2131772a37a7c989c8833357,a8e5e2ca11912535c12c4a384998b3fb476bbeb3c660bd81eae1e25f205d0f1f
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,independent_multiple,B_ALL,"[""direct:0:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:0"", ""direct:1:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:1""]","[""direct:0:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:0"", ""direct:1:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:1""]",2,2,2,3,2,11,8.745451996219344,0.03874015808105469,0,0,0,full_success,True,True,PASS,3.9358797346140273,3.9358797346140273,1.0,True,34ed1eb5138fa5820463785d016fa0e7ec98cb35c9da53723e4560c658c3aead,27eca0cca87e20128376b165d76e5ad3b65f95de356b91089b6af3a36d907479
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,independent_multiple,B_FIRST,"[""direct:0:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:0"", ""direct:1:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:1""]","[""direct:0:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:0"", ""direct:1:h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2:obligation:1""]",2,2,2,3,2,11,8.965747998445295,0.03828239440917969,0,0,0,full_success,True,True,PASS,3.9358797346140273,3.9358797346140273,1.0,True,34ed1eb5138fa5820463785d016fa0e7ec98cb35c9da53723e4560c658c3aead,27eca0cca87e20128376b165d76e5ad3b65f95de356b91089b6af3a36d907479
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,independent_multiple,B_GREEDY,"[""source:restore""]","[""source:restore""]",1,1,1,3,3,8,4.719901000498794,0.03450202941894531,0,0,0,full_success,True,True,PASS,2.715517009972366,2.715517009972366,0.6899390207710865,True,34ed1eb5138fa5820463785d016fa0e7ec98cb35c9da53723e4560c658c3aead,27eca0cca87e20128376b165d76e5ad3b65f95de356b91089b6af3a36d907479
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,independent_multiple,O_GLOBAL,"[""source:restore""]","[""source:restore""]",1,1,1,3,3,8,4.700074001448229,0.03450202941894531,0,0,0,full_success,True,True,PASS,2.715517009972366,2.715517009972366,0.6899390207710865,True,34ed1eb5138fa5820463785d016fa0e7ec98cb35c9da53723e4560c658c3aead,27eca0cca87e20128376b165d76e5ad3b65f95de356b91089b6af3a36d907479
h10-c4:held_out:tabular_credit:002:11368f10699c6efe,tabular_credit,shared_source_downstream,B_ALL,"[""direct:0:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:2"", ""direct:1:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:3""]","[""direct:0:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:2"", ""direct:1:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:3""]",2,2,2,3,2,11,8.599836000939831,0.038283348083496094,0,0,0,full_success,True,True,PASS,3.9358797346140273,3.9358797346140273,1.0,True,2cf6f019e7178404da7250c8b4dd9bffd01b9b278ac6c94a5a490f04b9acc810,dcf21b4c00a6302e36b8b1d80ce9b66f6adc123223f022460f548ef06b3ce5bc
h10-c4:held_out:tabular_credit:002:11368f10699c6efe,tabular_credit,shared_source_downstream,B_FIRST,"[""direct:0:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:2"", ""direct:1:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:3""]","[""direct:0:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:2"", ""direct:1:h10-c4:held_out:tabular_credit:002:11368f10699c6efe:obligation:3""]",2,2,2,3,2,11,8.797428992693312,0.038252830505371094,0,0,0,full_success,True,True,PASS,3.9358797346140273,3.9358797346140273,1.0,True,2cf6f019e7178404da7250c8b4dd9bffd01b9b278ac6c94a5a490f04b9acc810,dcf21b4c00a6302e36b8b1d80ce9b66f6adc123223f022460f548ef06b3ce5bc
