scenario_id,pipeline_family,selection_stability_rate,top_k_stability_rate,mean_cost_regret,worst_case_cost_regret,number_of_weight_configs,stability_threshold,stable
h10-c4:held_out:tabular_credit:000:e1e8db9a9d47069e,tabular_credit,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:tabular_credit:001:cbcd016d6dbf04b2,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:002:11368f10699c6efe,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:003:5f255b961855fe8e,tabular_credit,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:tabular_credit:004:a6db6f7b626bf195,tabular_credit,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_credit:005:382e8583a34ff2c6,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:006:a4e5f9ddff4fcfd8,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:007:6fdf4542eb6c08f4,tabular_credit,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:tabular_credit:008:3137c648c7b86726,tabular_credit,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:tabular_credit:009:f9431c6446687f0e,tabular_credit,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_credit:010:b357907b7781a333,tabular_credit,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:tabular_credit:011:c91f1ada27e642a2,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:012:ba926a5b255583ca,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:013:1516a183508f6f68,tabular_credit,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:tabular_credit:014:0ff0db64e08423bb,tabular_credit,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_credit:015:f029146cbb889bf5,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:016:c176c39bd74d9631,tabular_credit,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_credit:017:fabdbf36e9d5cc3d,tabular_credit,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:tabular_credit:018:3213679dde2438ce,tabular_credit,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:tabular_credit:019:24b434d5a71099d1,tabular_credit,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_energy:000:d2be988a9f81c582,tabular_energy,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:tabular_energy:001:e7e25ada5e355871,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:002:00d3619f92f7e4f1,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:003:3ac6ab7a5458c48f,tabular_energy,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:tabular_energy:004:7a3c97b90afc524e,tabular_energy,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_energy:005:4c77fc22f0ac1bc1,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:006:7661f32ffef50639,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:007:d200887372f81aa2,tabular_energy,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:tabular_energy:008:b542ae53318f88e7,tabular_energy,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:tabular_energy:009:f623ee84117ec420,tabular_energy,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_energy:010:6a829279cce1a1ec,tabular_energy,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:tabular_energy:011:ffe9d4d1df8594f7,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:012:78bb5cba109fc844,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:013:ecd6a8e25082dc3e,tabular_energy,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:tabular_energy:014:10aa41eea7219e21,tabular_energy,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:tabular_energy:015:9f3be1d3df297555,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:016:750b348d119bd4b3,tabular_energy,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:tabular_energy:017:fa48d1eff68d218d,tabular_energy,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:tabular_energy:018:87b7541726de9ea9,tabular_energy,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:tabular_energy:019:622521000413f1be,tabular_energy,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:news_text:000:6b6f60e614cc2d6c,news_text,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:news_text:001:e8786aab9adb11bb,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:002:043004457ce52f5d,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:003:97a60f7b2c54ba2c,news_text,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:news_text:004:32e472dc6c6c7184,news_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:news_text:005:7978e279354a35f7,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:006:880e5bf26b8d09ce,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:007:b01ecdd41077b163,news_text,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:news_text:008:8fcd81ef0ab381ab,news_text,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:news_text:009:e46f92c95b99f95c,news_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:news_text:010:fb7b6b1c255f8cbc,news_text,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:news_text:011:9177df1c749bfde4,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:012:3764cd98925ab32d,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:013:3a00715fb1e4f6e2,news_text,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:news_text:014:656a5e3bf0d6ce2d,news_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:news_text:015:b9f84b7f3e5577a6,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:016:057dea66cb63f8a4,news_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:news_text:017:a505338b7656711b,news_text,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:news_text:018:c970348fa68162d3,news_text,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:news_text:019:59a5db516c522e81,news_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:reviews_text:000:7ad6c4ace5092ca4,reviews_text,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:reviews_text:001:7323447898b4fbd3,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:002:6d68951a4879107a,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:003:094471212c7f2774,reviews_text,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:reviews_text:004:bcb0804ef0a02e1c,reviews_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:reviews_text:005:348a62d78a11b5e7,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:006:eca244e86793effc,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:007:9c98644ae86079f9,reviews_text,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:reviews_text:008:53af440ead6aada9,reviews_text,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:reviews_text:009:9d01057760e89af2,reviews_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:reviews_text:010:d4b144cfa1152dba,reviews_text,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:reviews_text:011:d817fd17bd802aac,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:012:fd12b527bde5e48f,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:013:71b7e447fa07cb00,reviews_text,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:reviews_text:014:f1d216befb3fb06e,reviews_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:reviews_text:015:c646a280b1f405b3,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:016:0a69dc93bde8e7e8,reviews_text,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:reviews_text:017:fbbfe3559d792291,reviews_text,0.9583333333333334,0.9583333333333334,0.0006872167073492438,0.023993200976382134,48,0.8,True
h10-c4:held_out:reviews_text:018:41b6b70cedcb32ca,reviews_text,0.9375,0.9375,0.011957172360646048,0.20631475777033703,48,0.8,True
h10-c4:held_out:reviews_text:019:199a74622ee6a5f4,reviews_text,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:image_quality:000:6ea5bb63c680c56b,image_quality,0.9583333333333334,0.9583333333333334,0.0003125000000000026,0.010000000000000009,48,0.8,True
h10-c4:held_out:image_quality:001:4601fc6090a6733c,image_quality,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:image_quality:002:7b6b540e4125d7b6,image_quality,1.0,1.0,0.0,0.0,48,0.8,True
h10-c4:held_out:image_quality:003:1507094db517e2bd,image_quality,0.6875,0.6875,0.07999788352094175,0.6117798658785008,48,0.8,False
h10-c4:held_out:image_quality:004:62eb001191b0f267,image_quality,0.875,0.875,0.02714669291187463,0.3604654375975951,48,0.8,True
h10-c4:held_out:image_quality:005:ca4092ec11112794,image_quality,1.0,1.0,0.0,0.0,48,0.8,True
