strategy,metric,n,mean,median,p90,worst_case
B_ALL,normalized_executable_cost,120,1.0,1.0,1.0,1.0
B_ALL,repair_action_count,120,3.1,3.5,4.0,4.0
B_ALL,unique_touched_components,120,3.1,3.5,4.0,4.0
B_ALL,recertification_check_count,120,14.3,15.5,17.0,17.0
B_ALL,execution_time_ms,120,14.350979066390815,16.404954993049614,19.324968990986235,31.4409630082082
B_ALL,new_critical_violation_count,120,0.0,0.0,0.0,0.0
B_ALL,rollback_count,120,0.0,0.0,0.0,0.0
B_FIRST,normalized_executable_cost,120,1.0,1.0,1.0,1.0
B_FIRST,repair_action_count,120,3.1,3.5,4.0,4.0
B_FIRST,unique_touched_components,120,3.1,3.5,4.0,4.0
B_FIRST,recertification_check_count,120,14.3,15.5,17.0,17.0
B_FIRST,execution_time_ms,120,14.2499312255192,16.344871000910643,19.21443099854514,21.904085006099194
B_FIRST,new_critical_violation_count,120,0.0,0.0,0.0,0.0
B_FIRST,rollback_count,120,0.0,0.0,0.0,0.0
B_GREEDY,normalized_executable_cost,120,0.594047367361634,0.571982399456628,0.7182863746487695,1.0
B_GREEDY,repair_action_count,120,1.7,2.0,2.0,2.0
B_GREEDY,unique_touched_components,120,1.4,1.0,2.0,2.0
B_GREEDY,recertification_check_count,120,10.1,11.0,11.0,11.0
B_GREEDY,execution_time_ms,120,7.967451541723373,8.961655003076885,10.148674002266489,10.810735999257304
B_GREEDY,new_critical_violation_count,120,0.0,0.0,0.0,0.0
B_GREEDY,rollback_count,120,0.2,0.0,1.0,1.0
O_GLOBAL,normalized_executable_cost,120,0.5168489529790097,0.41186011889469337,0.7182863746487695,1.0
O_GLOBAL,repair_action_count,120,1.0,1.0,1.0,1.0
O_GLOBAL,unique_touched_components,120,1.0,1.0,1.0,1.0
O_GLOBAL,recertification_check_count,120,8.0,8.0,8.0,8.0
O_GLOBAL,execution_time_ms,120,4.703691332664069,4.643572996428702,5.014978989493102,6.874204002087936
O_GLOBAL,new_critical_violation_count,120,0.0,0.0,0.0,0.0
O_GLOBAL,rollback_count,120,0.0,0.0,0.0,0.0
