incident_id,repository,failing_test,executed_slice_sha256,traceback_symbol_count,executed_symbol_count,loaded_module_count,accessed_artifact_count,configuration_read_count,dependency_count
bugsinpy-fastapi-13,tiangolo/fastapi,tests/test_additional_responses_router.py::test_openapi_schema,d4050ebe241ba386f72c3ca7764b87787ca8b923c41db470004d2c406936184d,1,134,0,0,0,0
bugsinpy-tornado-16,tornadoweb/tornado,tornado/test/gen_test.py,2bac564c29bd8cafa33459058adc308393b11fad82d422828b383f146b23af78,6,267,0,0,0,0
bugsinpy-black-18,psf/black,tests/test_black.py,efadc6e17ef862521d5349cf8c8e6483843547ab7e2ff06aef82263f8047516b,1,159,0,0,0,0
bugsinpy-thefuck-24,nvbn/thefuck,tests/test_types.py::TestCorrectedCommand::test_equality,7ca226b9e8a75e7b740056ca9ab5345623fbe16c7f9c1d6a27f0eb13701141dc,1,16,0,0,0,0
bugsinpy-thefuck-24,nvbn/thefuck,tests/test_types.py::TestCorrectedCommand::test_hashable,f7256e29d070fd8ef184a8ca97aa7c654ba4cc6b5cc087e62e61ee1f87dd7b09,1,16,0,0,0,0
bugsinpy-youtube-dl-13,ytdl-org/youtube-dl,test/test_utils.py,f92c4415548e910dbbe0d67daba3b9b3c73dbfe4d073171570df45170dec6c4e,1,2212,0,0,0,0
bugsinpy-PySnooper-2,cool-RR/PySnooper,tests/test_pysnooper.py::test_custom_repr_single,ca20adcd826fd9929dec1dc26fa3e50f08c31328b6a8539e435355d8a6f3117d,2,30,0,0,0,0
bugsinpy-pandas-73,pandas-dev/pandas,pandas/tests/frame/test_arithmetic.py::TestFrameFlexArithmetic::test_floordiv_axis0,2f24c24981ba9976907cfd616b9d57d15a21d9fa393aa489a5db9a6d17f3c4e3,1,1009,0,0,0,0
bugsinpy-httpie-3,jakubroztocil/httpie,tests/test_sessions.py::TestSession::test_download_in_session,31776af83a33720c5f5ead2a2546f243f5f695c48cc03204bdad7281e1a027a2,9,139,0,0,0,0
bugsinpy-fastapi-6,tiangolo/fastapi,tests/test_forms_from_non_typing_sequences.py::test_python_list_param_as_form,94444ad6854e5a9f201e0f29cc46dc1198ac52a996fbe77d7db9233e1f2f5203,1,149,0,0,0,0
bugsinpy-fastapi-6,tiangolo/fastapi,tests/test_forms_from_non_typing_sequences.py::test_python_set_param_as_form,96942f8c3dbb632c21856ee6244720604d4d63ca9af06af7c52ebb7965993b0f,1,149,0,0,0,0
bugsinpy-fastapi-6,tiangolo/fastapi,tests/test_forms_from_non_typing_sequences.py::test_python_tuple_param_as_form,8300ad2ffd3950144f41dc048d37354d352070e0a6804a8cff343b0b3f479fa6,1,149,0,0,0,0
bugsinpy-tornado-15,tornadoweb/tornado,tornado/test/web_test.py,afb9adc788265cc34750ce17098e8975d6a175906110404bbbfa3c9f24db05da,3,541,0,0,0,0
bugsinpy-black-5,psf/black,tests/test_black.py,8d457e6f63b314cce936525b64210c7ff9e148d69a596ce57dbd369b58c9920c,2,98,0,0,0,0
bugsinpy-thefuck-9,nvbn/thefuck,tests/rules/test_git_push.py::test_get_new_command,079981cf83eb61516a087441b20ebee778b2b74d5d3c3876ec4c8c34591e4870,3,63,0,0,0,0
bugsinpy-youtube-dl-37,ytdl-org/youtube-dl,test/test_utils.py,af596cfbe63dc3ae019a7b0f2eb52625e3bcc7b2be0583fd0e4d8b4c20247d6b,3,631,0,0,0,0
bugsinpy-PySnooper-3,cool-RR/PySnooper,tests/test_pysnooper.py::test_file_output,5c5b99edf82ad8eb6f8a3d0967f438bf33b2e93fcf85c1e056a45b09a44c2453,6,29,0,0,0,0
bugsinpy-pandas-7,pandas-dev/pandas,pandas/tests/frame/indexing/test_indexing.py::TestDataFrameIndexing::test_reindex_nearest_tz,cd7ecb078bf49b9f7d913f1b83eabe42d1736e3d0eadefb911b675c91d658ca6,9,1102,0,0,0,0
bugsinpy-httpie-4,jakubroztocil/httpie,tests/test_regressions.py::test_Host_header_overwrite,56253a0ed7d844772d4e7e6ec791437ac7b6a23fdcdd37d174697322fb147f0d,4,140,0,0,0,0
bugsinpy-fastapi-16,tiangolo/fastapi,tests/test_jsonable_encoder.py::test_encode_model_with_config,23c197df311671767bf961ebb6969b0f693d351d49aa15281de0c6310bdda457,2,111,0,0,0,0
bugsinpy-tornado-14,tornadoweb/tornado,tornado/test/ioloop_test.py,5b35964989d5e9b024a92e7f0e9665ffdb02d866e384446dd4be43408b3b7207,4,147,0,0,0,0
bugsinpy-black-14,psf/black,tests/test_black.py,7ffb7c5e2c1dbc1e2f4403d84f42b3852987799ee2c8b3be7a32da7fc13dba8c,2,105,0,0,0,0
bugsinpy-thefuck-10,nvbn/thefuck,tests/rules/test_man.py::test_get_new_command,d2d245ba86461501a2875cc557da5682b04826de59ad0502e6e47f2f3676da86,1,57,0,0,0,0
bugsinpy-youtube-dl-36,ytdl-org/youtube-dl,test/test_all_urls.py,930b504f87d26bfe570995c001d1af75b5285af34c1c57b7386e4897a62f5e2b,1,785,0,0,0,0
bugsinpy-pandas-71,pandas-dev/pandas,pandas/tests/arrays/test_integer.py::test_cut,c12783d13c4199f79c589151976e29202b99e51a8376ff2c9d97b886c5acf039,3,963,0,0,0,0
bugsinpy-httpie-5,jakubroztocil/httpie,tests/tests.py::TestItemParsing::test_escape_longsep,626e3da76d2a5d6bb8c5a215439c9fe200455e995c86bb4b1b8e7b2a69b75f85,1,27,0,0,0,0
bugsinpy-fastapi-5,tiangolo/fastapi,tests/test_filter_pydantic_sub_model.py::test_filter_sub_model,ddadb8c3beffdd4f13034397fca94e338ce37c74463f4abbe572860c0f10237e,1,151,0,0,0,0
bugsinpy-tornado-8,tornadoweb/tornado,tornado/test/websocket_test.py,c5854ab40f110ac78a71ddd35da0e3ef74e605f3a2a2f805a86ad22da3c4bd2a,8,517,0,0,0,0
bugsinpy-black-23,psf/black,tests/python2.py;tests/test_black.py,6f42e3c9e0f129f11f5a5352b2b13a48205f24983cd61442ec364af300f1d5db,2,141,0,0,0,0
