model_id,repository,training_repositories,training_incidents,test_incidents,threshold,candidate_margin_threshold,joint_margin_threshold,training_confirmation_coverage,training_selective_precision,test_confirmation_coverage,test_selective_precision,parameters
C0,cool-RR/PySnooper,"[""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",28,2,1.0,0.005778015706767065,0.004859527860464469,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,jakubroztocil/httpie,"[""cool-RR/PySnooper"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,1.0,0.005778015706767065,0.004859527860464469,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,nvbn/thefuck,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,1.0,0.005778015706767065,0.004859527860464469,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,pandas-dev/pandas,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,1.0,0.012688454262739238,0.010377927272764029,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,psf/black,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,1.0,0.012688454262739238,0.010377927272764029,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,tiangolo/fastapi,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,1.0,0.005778015706767065,0.004859527860464469,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,tornadoweb/tornado,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""ytdl-org/youtube-dl""]",26,4,1.0,0.012688454262739238,0.010377927272764029,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C0,ytdl-org/youtube-dl,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado""]",26,4,1.0,0.005778015706767065,0.004859527860464469,0.0,1.0,0.0,1.0,"{""fixed_rule_version"":""1"",""model_id"":""C0""}"
C1,cool-RR/PySnooper,"[""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",28,2,0.5722630234187047,0.005778015706767065,0.004859527860464469,0.39285714285714285,0.8181818181818182,0.5,0.0,"{""coefficients"":[0.2703583011747931,0.34589822343693305,0.19317246867293916,0.3760341820277036,0.10619498993141008,-0.13739567097733654,0.3684471895753494,-0.3557849423436851,0.6762054472261668,0.2619968113618271,-0.06270868579539379,0.0],""feature_names"":[""candidate_margin_normalized"",""contract_margin_normalized"",""joint_margin_normalized"",""independent_evidence_groups"",""runtime_evidence_groups"",""retrieval_channels"",""rank_stability"",""contract_stability"",""production_symbol"",""has_assertion_evidence"",""has_traceback_evidence"",""has_active_probe_evidence""],""intercept"":[0.0008493187907228977],""model_id"":""C1"",""scaler_mean"":[0.08378863788349532,0.36142494840668477,0.07221225133420762,7.785714285714286,4.035714285714286,2.9285714285714284,0.9500000000000002,0.9142857142857144,0.8571428571428571,0.75,0.5714285714285714,0.0],""scaler_scale"":[0.0809137162778894,0.289113784390358,0.06992487504008355,1.2058530725810093,0.8229799015573509,0.9974457174120673,0.1017700489198215,0.1456862718169367,0.34992710611188255,0.4330127018922193,0.49487165930539356,1.0],""seed"":1707}"
C1,jakubroztocil/httpie,"[""cool-RR/PySnooper"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,0.4832365025084033,0.005778015706767065,0.004859527860464469,0.5,0.8461538461538461,1.0,0.0,"{""coefficients"":[0.2068309280720112,0.6606624561026079,0.006881101427627771,0.26439730856490706,-0.3957145413495775,0.13655384599994286,0.4905753201319063,-0.18882733594015552,0.4665902418144386,0.008277242445378858,-0.2022396087250535,0.0],""feature_names"":[""candidate_margin_normalized"",""contract_margin_normalized"",""joint_margin_normalized"",""independent_evidence_groups"",""runtime_evidence_groups"",""retrieval_channels"",""rank_stability"",""contract_stability"",""production_symbol"",""has_assertion_evidence"",""has_traceback_evidence"",""has_active_probe_evidence""],""intercept"":[0.01892219701696676],""model_id"":""C1"",""scaler_mean"":[0.09073315714319902,0.35135876153328677,0.07912695985196791,7.846153846153846,4.230769230769231,2.8076923076923075,0.9538461538461539,0.9076923076923079,0.8461538461538461,0.7692307692307693,0.6538461538461539,0.0],""scaler_scale"":[0.084866426930642,0.30482482652118836,0.07396993348502674,1.2616322666812867,0.7497534111391512,1.0007393716352067,0.10088366960464615,0.1491593802281947,0.36080121229410994,0.42132504423474315,0.4757429568020377,1.0],""seed"":1707}"
C1,nvbn/thefuck,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""pandas-dev/pandas"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,0.6630800881904813,0.005778015706767065,0.004859527860464469,0.2692307692307692,0.8571428571428571,0.0,1.0,"{""coefficients"":[0.08016972924946825,0.754033447386314,-0.14663181450743584,0.20136522384524316,-0.2737515076716736,-0.381418991546715,1.2528607362139026,0.1805629690164206,0.41024360181031283,-0.2509221669655535,0.19723679916684295,0.0],""feature_names"":[""candidate_margin_normalized"",""contract_margin_normalized"",""joint_margin_normalized"",""independent_evidence_groups"",""runtime_evidence_groups"",""retrieval_channels"",""rank_stability"",""contract_stability"",""production_symbol"",""has_assertion_evidence"",""has_traceback_evidence"",""has_active_probe_evidence""],""intercept"":[-0.18410808395322084],""model_id"":""C1"",""scaler_mean"":[0.0891640368596661,0.36721754166009013,0.07755100714984307,7.653846153846154,4.076923076923077,2.8076923076923075,0.9615384615384617,0.9384615384615386,0.8846153846153846,0.7307692307692307,0.6153846153846154,0.0],""scaler_scale"":[0.0839420439932615,0.30194203766361083,0.07321253516529441,1.2071042174211706,0.8284868934053085,1.0007393716352067,0.07882269819968919,0.12113858267710477,0.31948553318915673,0.4435600997950307,0.48650425541051995,1.0],""seed"":1707}"
C1,pandas-dev/pandas,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""psf/black"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,0.952796330355263,0.012688454262739238,0.010377927272764029,0.038461538461538464,1.0,0.0,1.0,"{""coefficients"":[0.2339502310840144,0.8750461340102043,0.11432956484255359,0.31434563291825635,0.2573196572564773,-0.16326191774909043,-0.069400449271925,-0.40728623255159274,0.5897991907989752,-0.0979334238244272,-0.20604295773057538,0.0],""feature_names"":[""candidate_margin_normalized"",""contract_margin_normalized"",""joint_margin_normalized"",""independent_evidence_groups"",""runtime_evidence_groups"",""retrieval_channels"",""rank_stability"",""contract_stability"",""production_symbol"",""has_assertion_evidence"",""has_traceback_evidence"",""has_active_probe_evidence""],""intercept"":[-0.031746767006865295],""model_id"":""C1"",""scaler_mean"":[0.09889008263570294,0.33680045286989146,0.08603355398249421,7.846153846153846,4.038461538461538,3.0,0.9615384615384616,0.9000000000000001,0.8461538461538461,0.7307692307692307,0.5769230769230769,0.0],""scaler_scale"":[0.07950772189543381,0.27237335589585476,0.06935884704912738,1.2917581249035897,0.8076923076923077,1.0377490433255416,0.09638433912416668,0.14935759876113536,0.36080121229410994,0.44356009979503075,0.49404740687173565,1.0],""seed"":1707}"
C1,psf/black,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""tiangolo/fastapi"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,1.0,0.012688454262739238,0.010377927272764029,0.0,1.0,0.0,1.0,"{""coefficients"":[0.32356233912837207,-0.13564935532295241,0.09568932667381866,0.7660747864272412,-0.15439004747184004,-0.334071349222427,0.1807769523272547,-0.2431723376212557,0.8026330829714481,-0.007941888549057542,-0.25785554715436065,0.0],""feature_names"":[""candidate_margin_normalized"",""contract_margin_normalized"",""joint_margin_normalized"",""independent_evidence_groups"",""runtime_evidence_groups"",""retrieval_channels"",""rank_stability"",""contract_stability"",""production_symbol"",""has_assertion_evidence"",""has_traceback_evidence"",""has_active_probe_evidence""],""intercept"":[-0.07560309310522935],""model_id"":""C1"",""scaler_mean"":[0.08032014230126115,0.2931089180315129,0.06921393752877283,7.961538461538462,4.038461538461538,3.076923076923077,0.9461538461538462,0.9000000000000001,0.9230769230769231,0.7692307692307693,0.5769230769230769,0.0],""scaler_scale"":[0.0733875588541363,0.21989383715655603,0.06290638843287412,1.2551668363139012,0.8539847427374815,0.9970370305242863,0.10462669622104188,0.14935759876113536,0.26646935501059654,0.42132504423474315,0.49404740687173565,1.0],""seed"":1707}"
C1,tiangolo/fastapi,"[""cool-RR/PySnooper"",""jakubroztocil/httpie"",""nvbn/thefuck"",""pandas-dev/pandas"",""psf/black"",""tornadoweb/tornado"",""ytdl-org/youtube-dl""]",26,4,0.7491317102923856,0.005778015706767065,0.004859527860464469,0.19230769230769232,0.8,0.25,0.0,"{""coefficients"":[0.16287678276484102,0.4658695867083557,-0.06653285873895136,0.5615731418136769,0.06278433560358569,-0.3502576454265319,0.308744533365363,-0.22047375174535963,0.2501052559993603,-0.059586815329652904,-0.49683620251786986,0.0],""feature_names"":[""candidate_margin_normalized"",""contract_margin_normalized"",""joint_margin_normalized"",""independent_evidence_groups"",""runtime_evidence_groups"",""retrieval_channels"",""rank_stability"",""contract_stability"",""production_symbol"",""has_assertion_evidence"",""has_traceback_evidence"",""has_active_probe_evidence""],""intercept"":[-0.009154790393445168],""model_id"":""C1"",""scaler_mean"":[0.0835260874912099,0.34536154174907313,0.0730796626052061,7.8076923076923075,4.153846153846154,2.8846153846153846,0.953846153846154,0.9076923076923079,0.8846153846153846,0.7307692307692307,0.6538461538461539,0.0],""scaler_scale"":[0.0790959326332175,0.3002656553871151,0.06935298685665103,1.2409435234539754,0.8177035240565114,1.0124958908529373,0.10088366960464618,0.14915938022819472,0.3194855331891567,0.4435600997950307,0.4757429568020377,1.0],""seed"":1707}"
