pipeline,batch_size,mode,model_ms,explainer_ms,base_ms,fuzzyxai_ms,fuzzyxai_ms_per_object,relative_overhead,root_digest,normalize_ms,prediction_digest_ms,explanation_digest_ms,contract_check_ms,route_build_ms,cut_search_ms,proof_trace_ms,serialization_ms,repetition
tabular_shap,1,online,0.044404,0.125998,0.170402,0.065434,0.065434,0.3839978404009343,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000401,0.017393,0.006703,0.000531,0.02653,7e-05,0.004108,0.00012,0
tabular_shap,1,online,0.049223,0.145075,0.19429800000000003,0.059342,0.059342,0.3054174515435053,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.0004,0.011332,0.005971,0.000541,0.02611,7e-05,0.004378,0.00013,1
tabular_shap,1,online,0.046809,0.157688,0.20449699999999998,0.073008,0.073008,0.3570125723115743,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.0157,0.006342,0.000521,0.030327,8e-05,0.004769,0.000141,2
tabular_shap,1,online,0.076565,0.155975,0.23254,0.062078,0.062078,0.26695622258536167,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000351,0.011411,0.008737,0.000521,0.026039,6e-05,0.004038,0.00014,3
tabular_shap,1,online,0.049864,0.146988,0.196852,0.063611,0.063611,0.32314124316745574,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000411,0.011872,0.006001,0.000501,0.027593,8e-05,0.004618,0.000141,4
tabular_shap,1,online,0.048411,0.133533,0.18194400000000002,0.058942,0.058942,0.3239568218792595,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000361,0.011491,0.005982,0.000461,0.026219,7e-05,0.004108,0.00012,5
tabular_shap,1,online,0.049153,0.136158,0.185311,0.062168,0.062168,0.33547927538030664,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000491,0.011442,0.006242,0.000641,0.028193,8e-05,0.004108,0.00014,6
tabular_shap,1,online,0.051077,0.182024,0.233101,0.104769,0.104769,0.44945753128472204,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000781,0.026581,0.007063,0.000962,0.039875,8.1e-05,0.004889,0.000541,7
tabular_shap,1,online,0.160273,0.233843,0.394116,0.109417,0.109417,0.2776263841102619,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000962,0.027842,0.008557,0.001062,0.041107,7.1e-05,0.005019,0.000481,8
tabular_shap,1,online,0.123203,0.203826,0.327029,0.098516,0.098516,0.3012454552960135,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.001302,0.026049,0.006924,0.001142,0.036248,7e-05,0.00479,0.000531,9
tabular_shap,1,online,0.133883,0.225437,0.35932,0.107473,0.107473,0.29910107981743295,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000862,0.029335,0.006422,0.001343,0.039976,7e-05,0.005129,0.000802,10
tabular_shap,1,online,0.114287,0.134344,0.248631,0.0582,0.0582,0.23408183211264888,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000371,0.01076,0.006142,0.000531,0.025208,7e-05,0.004128,0.00013,11
tabular_shap,1,online,0.043682,0.128564,0.172246,0.056817,0.056817,0.32985961938158215,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000341,0.01085,0.006082,0.000551,0.025067,9.1e-05,0.003997,0.00013,12
tabular_shap,1,online,0.043171,0.135056,0.17822700000000002,0.057389,0.057389,0.3219994725827175,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.011201,0.005981,0.000541,0.025138,7e-05,0.003967,0.000121,13
tabular_shap,1,online,0.043462,0.124676,0.168138,0.056377,0.056377,0.3353019543470244,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.00038,0.01032,0.005921,0.000521,0.025108,7e-05,0.004128,0.00012,14
