pipeline,batch_size,mode,median_base_ms,median_fuzzyxai_ms_per_object,p95_fuzzyxai_ms_per_object,median_relative_overhead,p95_relative_overhead,relative_gate_applicable
image_gradcam,1,full,0.2221205,0.058325,0.063059,0.2629165900093712,0.2847293087099833,False
image_gradcam,1,online,0.22269699999999998,0.0565625,0.061196,0.25199772742096405,0.2770955589364631,False
image_gradcam,8,full,0.38532449999999996,0.018560062500000002,0.01928525,0.3843272448454501,0.4003073447514973,False
image_gradcam,8,online,0.386376,0.017629,0.01830475,0.365526943886754,0.38189096504153036,False
image_gradcam,32,full,0.49609349999999997,0.013565046875,0.0137716875,0.8757029453724479,0.9003567152774656,False
image_gradcam,32,online,0.49595350000000005,0.01281846875,0.01319746875,0.8283747690830991,0.8503181250755044,False
tabular_shap,1,full,0.1734735,0.0595825,0.064132,0.3417502925576137,0.36112514837056797,False
tabular_shap,1,online,0.1779715,0.05821,0.107473,0.3332990652877374,0.3839978404009343,False
tabular_shap,8,full,0.293425,0.0241575625,0.024723125,0.648219336423624,0.6676660929432013,False
tabular_shap,8,online,0.2927495,0.023180125,0.023835125,0.6317985550342858,0.6583571579198457,False
tabular_shap,32,full,0.45448,0.01279515625,0.0130775625,0.8978401645909961,0.9343522241559811,False
tabular_shap,32,online,0.467194,0.012405984375,0.0125838125,0.8424377219323034,0.8697790307400363,False
text_token_masking,1,full,0.38819,0.0446145,0.050044,0.11520719741408654,0.1275764533109946,False
text_token_masking,1,online,0.3952585,0.043212,0.046848,0.10902406137863463,0.1168704463087669,False
text_token_masking,8,full,2.0084809999999997,0.016681625,0.017801125,0.06649706878245111,0.07085163802410221,True
text_token_masking,8,online,1.9994139999999998,0.01580925,0.01673675,0.06343759084832432,0.06650097714969196,True
text_token_masking,32,full,7.5365635,0.013178843749999999,0.0139795625,0.056147927868123323,0.05818427538064421,True
text_token_masking,32,online,7.613543999999999,0.013150984375,0.01589103125,0.055036065178786425,0.05639235524900716,True
