case_id,modality,expected_violation,route_status,violation_detected,expected_positive,source_localized,false_certification,canonical_hash_equality,recertification_success,interpretability_scope
mm-tabular-0000,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0001,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0002,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0003,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0004,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0005,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0006,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0007,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0008,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0009,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0010,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0011,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0012,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0013,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0014,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0015,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0016,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0017,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0018,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0019,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0020,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0021,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0022,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0023,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0024,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0025,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0026,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0027,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0028,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0029,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0030,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
mm-tabular-0031,tabular,,valid,False,False,True,False,True,True,extracted_feature_space_only
